!Series_title	"Gene expression in the different stages of endometrial cancer"
!Series_geo_accession	"GSE39099"
!Series_status	"Public on Jan 18 2016"
!Series_submission_date	"Jul 04 2012"
!Series_last_update_date	"Mar 25 2019"
!Series_summary	"Objectives: The aim of this study was to identify the dysregulated genes involved in tumorigenesis, invasion, and metastasis of endometrial endometrioid adenocarcinoma (EEC)."
!Series_summary	""
!Series_summary	"Materials and methods: Surgical specimens of endometrial tissues were obtained from 20 patients with normal endometrium (NEM), 20 patients with atypical endometrial hyperplasia (AEH), and 169 patients with EEC. The expression profiles of NEM, AEH, and EEC were compared by using GeneChip Array. The expression of dysregulated genes was first validated by semi-quantitative reverse transcriptase PCR (SQ RT-PCR). The gene expression levels were determined by real time reverse transcriptase PCR (RTQ RT-PCR) in 85 EEC patients as the training test and 84 EEC patients as the testing test. The protein expressions were then examined by immunohistochemical (IHC) staining. The correlations between the expression of dysregualted genes and clinico-pathologic parameters such as tumorigenesis, invasion, and metastasis of EEC were finally evaluated."
!Series_summary	""
!Series_summary	"Results: Seven dysregulated genes were identified by SQ RT-PCR after microarray analysis."
!Series_summary	""
!Series_summary	"Conclusions: uPA is a dysregulated gene in the tumorigenesis of endometrial carcinomas."
!Series_overall_design	"The gene expression between tissues from NEM, AEH, and EEC were analyzed by microarray. The samples were grouped according to clinical stages but selected at random from our list of banked, frozen tissues. Ten NEM, 10 AEH, and 20 EEC of early and advanced stages were used for microarray experiments (Group 1: early-staged (stages I and II) EEC (n=10), Group 2: advanced-staged EEC (stages III and IV) (n=10)). Samples were pooled in equimolar amounts (10 samples / pool) for microarray analysis."
!Series_type	"Expression profiling by array"
!Series_sample_id	"GSM956132 GSM956133 GSM956134 GSM956135 "
!Series_contact_name	"Wei-Yun,,Huang"
!Series_contact_email	"richard0609@gmail.com"
!Series_contact_department	"Department of Biological Science and Technology"
!Series_contact_institute	"NCTU"
!Series_contact_address	"75 Bo-Ai Street"
!Series_contact_city	"Hsin-Chu"
!Series_contact_zip/postal_code	"300"
!Series_contact_country	"Taiwan"
!Series_supplementary_file	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE39nnn/GSE39099/suppl/GSE39099_RAW.tar"
!Series_platform_id	"GPL570"
!Series_platform_taxid	"9606"
!Series_sample_taxid	"9606"
!Series_relation	"BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA187525"

!Sample_title	"Endometrial cancer in different stages-1"	"Endometrial cancer in different stages-2"	"Endometrial cancer in different stages-3"	"Endometrial cancer in different stages-4"
!Sample_geo_accession	"GSM956132"	"GSM956133"	"GSM956134"	"GSM956135"
!Sample_status	"Public on Jan 18 2016"	"Public on Jan 18 2016"	"Public on Jan 18 2016"	"Public on Jan 18 2016"
!Sample_submission_date	"Jul 04 2012"	"Jul 04 2012"	"Jul 04 2012"	"Jul 04 2012"
!Sample_last_update_date	"Jan 18 2016"	"Jan 18 2016"	"Jan 18 2016"	"Jan 18 2016"
!Sample_type	"RNA"	"RNA"	"RNA"	"RNA"
!Sample_channel_count	"1"	"1"	"1"	"1"
!Sample_source_name_ch1	"Atypical endometrial hyperplasia"	"Normal endometrium"	"Early stage endometrial cancer"	"Advanced stage endometrial cancer"
!Sample_organism_ch1	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"
!Sample_characteristics_ch1	"gender: female"	"gender: female"	"gender: female"	"gender: female"
!Sample_characteristics_ch1	"tissue: atypical hyperplastic endometrium (AEH)"	"tissue: normal endometrium (NEM)"	"tissue: early stage endometrial endometrioid adenocarcinoma (EEC)"	"tissue: advanced stage endometrial endometrioid adenocarcinoma (EEC)"
!Sample_characteristics_ch1	""	""	"Stage: I and II"	"Stage: III and IV"
!Sample_molecule_ch1	"total RNA"	"total RNA"	"total RNA"	"total RNA"
!Sample_extract_protocol_ch1	"Total RNA was isolated from the tissues."	"Total RNA was isolated from the tissues."	"Total RNA was isolated from the tissues."	"Total RNA was isolated from the tissues."
!Sample_label_ch1	"biotin"	"biotin"	"biotin"	"biotin"
!Sample_label_protocol_ch1	"Double-stranded cDNA was synthesized by a chimerical oligonucleotide with oligo-dT and T7 RNA polymerase. The amplification and labeling processes were monitored using a GeneChip Eukaryotic Poly-A RNA Control Kit (Affymetrix) with exogenous positive controls that were spiked into the total RNA before cDNA synthesis. The amplified cRNA was purified and then labeled with biotin using the GeneChip IVT Labeling Kit. 20 micro-gram of biotin-labeled cRNA was added in the fragmentation buffer and heated for 35 min at 94C."	"Double-stranded cDNA was synthesized by a chimerical oligonucleotide with oligo-dT and T7 RNA polymerase. The amplification and labeling processes were monitored using a GeneChip Eukaryotic Poly-A RNA Control Kit (Affymetrix) with exogenous positive controls that were spiked into the total RNA before cDNA synthesis. The amplified cRNA was purified and then labeled with biotin using the GeneChip IVT Labeling Kit. 20 micro-gram of biotin-labeled cRNA was added in the fragmentation buffer and heated for 35 min at 94C."	"Double-stranded cDNA was synthesized by a chimerical oligonucleotide with oligo-dT and T7 RNA polymerase. The amplification and labeling processes were monitored using a GeneChip Eukaryotic Poly-A RNA Control Kit (Affymetrix) with exogenous positive controls that were spiked into the total RNA before cDNA synthesis. The amplified cRNA was purified and then labeled with biotin using the GeneChip IVT Labeling Kit. 20 micro-gram of biotin-labeled cRNA was added in the fragmentation buffer and heated for 35 min at 94C."	"Double-stranded cDNA was synthesized by a chimerical oligonucleotide with oligo-dT and T7 RNA polymerase. The amplification and labeling processes were monitored using a GeneChip Eukaryotic Poly-A RNA Control Kit (Affymetrix) with exogenous positive controls that were spiked into the total RNA before cDNA synthesis. The amplified cRNA was purified and then labeled with biotin using the GeneChip IVT Labeling Kit. 20 micro-gram of biotin-labeled cRNA was added in the fragmentation buffer and heated for 35 min at 94C."
!Sample_taxid_ch1	"9606"	"9606"	"9606"	"9606"
!Sample_hyb_protocol	"45°C with 60 rpm for 16 hours in a Hybridization Oven 640 (Affymetrix)."	"45°C with 60 rpm for 16 hours in a Hybridization Oven 640 (Affymetrix)."	"45°C with 60 rpm for 16 hours in a Hybridization Oven 640 (Affymetrix)."	"45°C with 60 rpm for 16 hours in a Hybridization Oven 640 (Affymetrix)."
!Sample_scan_protocol	"GeneChip Operating Software (GCOS) in GeneChip Scanner 3000 (Affymetrix)."	"GeneChip Operating Software (GCOS) in GeneChip Scanner 3000 (Affymetrix)."	"GeneChip Operating Software (GCOS) in GeneChip Scanner 3000 (Affymetrix)."	"GeneChip Operating Software (GCOS) in GeneChip Scanner 3000 (Affymetrix)."
!Sample_description	"PolyA RNA"	"PolyA RNA"	"PolyA RNA"	"PolyA RNA"
!Sample_description	"Samples were pooled in equimolar amounts (10 samples / pool) for microarray analysis."	"Samples were pooled in equimolar amounts (10 samples / pool) for microarray analysis."	"Samples were pooled in equimolar amounts (10 samples / pool) for microarray analysis."	"Samples were pooled in equimolar amounts (10 samples / pool) for microarray analysis."
!Sample_data_processing	"Transformation by MAS 5.0."	"Transformation by MAS 5.0."	"Transformation by MAS 5.0."	"Transformation by MAS 5.0."
!Sample_platform_id	"GPL570"	"GPL570"	"GPL570"	"GPL570"
!Sample_contact_name	"Wei-Yun,,Huang"	"Wei-Yun,,Huang"	"Wei-Yun,,Huang"	"Wei-Yun,,Huang"
!Sample_contact_email	"richard0609@gmail.com"	"richard0609@gmail.com"	"richard0609@gmail.com"	"richard0609@gmail.com"
!Sample_contact_department	"Department of Biological Science and Technology"	"Department of Biological Science and Technology"	"Department of Biological Science and Technology"	"Department of Biological Science and Technology"
!Sample_contact_institute	"NCTU"	"NCTU"	"NCTU"	"NCTU"
!Sample_contact_address	"75 Bo-Ai Street"	"75 Bo-Ai Street"	"75 Bo-Ai Street"	"75 Bo-Ai Street"
!Sample_contact_city	"Hsin-Chu"	"Hsin-Chu"	"Hsin-Chu"	"Hsin-Chu"
!Sample_contact_zip/postal_code	"300"	"300"	"300"	"300"
!Sample_contact_country	"Taiwan"	"Taiwan"	"Taiwan"	"Taiwan"
!Sample_supplementary_file	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM956nnn/GSM956132/suppl/GSM956132_2501.CEL.gz"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM956nnn/GSM956133/suppl/GSM956133_2504.CEL.gz"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM956nnn/GSM956134/suppl/GSM956134_2503.CEL.gz"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM956nnn/GSM956135/suppl/GSM956135_ASC_Cell.CEL.gz"
!Sample_data_row_count	"54674"	"54675"	"54675"	"54675"
!series_matrix_table_begin
"ID_REF"	"GSM956132"	"GSM956133"	"GSM956134"	"GSM956135"
"1007_s_at"	3132.3	1534.2	3194.7	3278.3
"1053_at"	409.7	225.7	632.1	616.5
"117_at"	229.3	54.7	284.3	7738.3
"121_at"	2254.2	1243.4	3180.1	4093.3
"1255_g_at"	25	6.5	34.1	31.4
"1294_at"	661.6	622.6	541.7	986.8
"1316_at"	145	217.7	86.8	224.6
"1320_at"	22.9	6	81.5	86
"1405_i_at"	1914.2	1987.6	1511.7	6763.2
"1431_at"	103.1	87	85.4	31.3
"1438_at"	204.9	227.2	147.4	98
"1487_at"	1039	314.5	608.6	1116.9
"1494_f_at"	137.4	49.6	114.1	203.7
"1552256_a_at"	670.8	761.4	413	1012
"1552257_a_at"	1828.9	645.9	1215.6	932.5
"1552258_at"	93.5	8.9	59.5	184.1
"1552261_at"	546.4	139.6	88	180.3
"1552263_at"	436.4	155.7	380.5	809.2
"1552264_a_at"	228	162.6	268.9	487.9
"1552266_at"	47.4	78.9	28.9	2.5
"1552269_at"	48.8	37.2	55.7	91.4
"1552271_at"	30.7	4.1	13.9	8.8
"1552272_a_at"	140.8	58	81.3	124
"1552274_at"	323.7	216	148	224.4
"1552275_s_at"	197.2	401.7	162.3	131.2
"1552276_a_at"	56.9	48.2	23.2	21.4
"1552277_a_at"	970.7	811	1334.4	2502.3
"1552278_a_at"	130.5	101.6	44.2	165.9
"1552279_a_at"	137	182.9	190.8	357.4
"1552280_at"	62.7	14.9	50	40
"1552281_at"	133.1	27.9	93.5	197
"1552283_s_at"	53.7	18.9	31.9	104.3
"1552286_at"	223.8	224.8	282.9	191.3
"1552287_s_at"	625.2	393.9	322.4	740.6
"1552288_at"	16.6	6	68	76.2
"1552289_a_at"	105.9	40.8	67.6	108.5
"1552291_at"	699.9	265.7	767.1	826.5
"1552293_at"	5.5	20.3	15.4	36.3
"1552295_a_at"	181.3	197	308.7	363
"1552296_at"	275.6	51.9	4.4	16.3
"1552299_at"	120.2	75.3	7.8	9.2
"1552301_a_at"	183.2	61.6	28.5	279.1
"1552302_at"	318.5	60.8	67.1	702.5
"1552303_a_at"	127.2	64	75.7	218.7
"1552304_at"	50	64.7	67.8	94.9
"1552306_at"	64.4	78.4	123.4	164.7
"1552307_a_at"	373.4	279.2	326.9	789.3
"1552309_a_at"	665.1	1218.3	461.3	199.3
"1552310_at"	708	1388.7	902.1	473.9
"1552311_a_at"	184.4	65.9	106.6	8.2
"1552312_a_at"	220.2	100.4	167.2	154.3
"1552314_a_at"	27.5	25.1	43.4	247.8
"1552315_at"	187	404.5	120.4	153.1
"1552316_a_at"	519.4	958	211.5	529.1
"1552318_at"	243.8	539.6	54.7	130.9
"1552319_a_at"	184	90	13.2	294.6
"1552320_a_at"	177.9	64.5	48.5	8.2
"1552321_a_at"	211.5	8.4	52.5	5.5
"1552322_at"	5	4.2	5.1	51.6
"1552323_s_at"	168.6	177.5	122.1	245.7
"1552325_at"	10.3	25.4	8.5	4.5
"1552326_a_at"	335.4	164.7	85.9	51.9
"1552327_at"	54.8	149.5	23.8	51.5
"1552329_at"	831.9	1156.2	949.8	299.7
"1552330_at"	233.7	254.9	272.4	334.7
"1552332_at"	51.2	12.4	12.4	48.4
"1552334_at"	211.7	116.7	109.8	81.9
"1552335_at"	86.7	6.4	48.5	284.2
"1552337_s_at"	80.3	139.3	76.2	1.8
"1552338_at"	7.9	4.8	4.5	2.8
"1552340_at"	3	4.4	9.9	7.7
"1552343_s_at"	173.4	150.3	64.3	223.5
"1552344_s_at"	298.7	425.1	609.7	337.3
"1552347_at"	483.8	438.9	248.7	469
"1552348_at"	96.4	96	114.5	6.1
"1552349_a_at"	64.5	10.1	37.3	2.9
"1552354_at"	8.4	6.1	2.8	5.3
"1552355_s_at"	10.6	2.8	19.1	11.7
"1552359_at"	23.6	2.8	19.1	10.5
"1552360_a_at"	201.7	326.8	226.7	133
"1552362_a_at"	302.9	136.8	68.8	303.9
"1552364_s_at"	77.1	24.1	104.7	92.5
"1552365_at"	469.8	221.2	423.3	900.9
"1552367_a_at"	236.5	75.4	94.2	163.6
"1552368_at"	4.4	37.8	1	6.7
"1552370_at"	452.2	273.8	305.9	382.2
"1552372_at"	4.2	7.1	14.4	0.6
"1552373_s_at"	0.6	24.5	2.6	0.9
"1552375_at"	212.7	257.9	76.7	149.1
"1552377_s_at"	256.8	179	135.6	256.9
"1552378_s_at"	238.6	82.7	583.7	74.7
"1552379_at"	1.5	12	14.6	1
"1552381_at"	48.1	30.4	139.4	36.1
"1552383_at"	85.5	20.7	13.7	62.6
"1552384_a_at"	45.2	84.7	6.5	319
"1552386_at"	90.4	60.7	8.2	14.6
"1552388_at"	33.2	10	7.5	13.3
"1552389_at"	95.2	29.5	99.8	73.9
"1552390_a_at"	398.9	148	444	289.4
"1552391_at"	7.4	3.7	17.5	3.9
"1552393_at"	2.4	30.8	29.7	29.4
"1552394_a_at"	37.2	4.6	18.4	121.4
"1552395_at"	21.2	86.9	17.7	30.7
"1552396_at"	8.9	5	57.5	8.8
"1552398_a_at"	133.3	40.7	36.9	225.7
"1552399_a_at"	3.1	5.5	15.4	27
"1552400_a_at"	99.7	87.4	54.2	91.4
"1552401_a_at"	69.2	30	40.5	93.8
"1552402_at"	9.9	3.8	26.4	29
"1552405_at"	6.3	9.6	39	102.7
"1552408_at"	17.1	44	7.3	28.4
"1552409_a_at"	7.4	32.9	36	13.3
"1552410_at"	78.8	49.4	93.4	44.1
"1552411_at"	50.4	60.3	98.9	126.4
"1552412_a_at"	10.2	31.5	9	1.9
"1552414_at"	12.3	55.3	2.4	17.6
"1552415_a_at"	6.7	7.5	12.1	24.8
"1552417_a_at"	171.9	222.7	310.2	243.6
"1552418_at"	3.6	3	3.8	8.3
"1552419_s_at"	122.3	45.1	40.8	115.5
"1552421_a_at"	10.3	19.4	2.5	6.5
"1552422_at"	31.1	185.2	35.1	13.3
"1552423_at"	98.3	12.8	62.6	240.6
"1552424_at"	1.8	5.3	1.6	2.2
"1552425_a_at"	84	96.6	10.2	80.7
"1552426_a_at"	4000.4	6284.2	5033.6	2753.3
"1552427_at"	108.7	64.8	56.9	135
"1552430_at"	16.1	53.8	19.1	25.9
"1552432_at"	14	6.1	12.5	111.1
"1552436_a_at"	7.6	10.9	10.2	18.5
"1552438_a_at"	38.7	3.5	44.4	4.6
"1552439_s_at"	198.5	42.8	10.3	0.9
"1552440_at"	58.5	17	14.9	7.7
"1552445_a_at"	57.3	22.1	23.8	51
"1552448_a_at"	10.4	9.6	3.1	7.4
"1552449_a_at"	2.1	11.4	7.1	5.5
"1552450_a_at"	15.1	3.5	9.8	47.4
"1552452_at"	4.9	2.1	2.1	3.8
"1552453_a_at"	2.6	11.1	3.2	6.5
"1552455_at"	114.8	253.7	17.1	51.5
"1552456_a_at"	54.8	39.5	58.8	4.8
"1552457_a_at"	64.6	31.6	14.9	1.2
"1552458_at"	2.3	45	37.1	5.1
"1552459_a_at"	15.7	10.4	5.4	22.4
"1552461_at"	31.2	54.4	36.3	37.7
"1552463_at"	31.1	17.8	21.4	2.3
"1552466_x_at"	17.2	14.9	20.5	1.8
"1552467_at"	13.8	25	48.5	22.7
"1552468_a_at"	10.9	44.6	35	33.9
"1552470_a_at"	34.7	2.1	64.2	90.8
"1552472_a_at"	178.7	105.9	189.7	746.1
"1552473_at"	55.9	27.7	46.5	34.8
"1552474_a_at"	195.9	183.4	182.8	257.9
"1552476_s_at"	48.4	25.7	9	9.3
"1552477_a_at"	283.9	148.4	287	303.8
"1552478_a_at"	17.1	6.1	58.6	19.7
"1552480_s_at"	53.8	10.7	1.4	84.6
"1552481_s_at"	112.1	57.4	79.7	65.1
"1552482_at"	9.2	42.7	5.7	8.7
"1552484_at"	18.4	4.6	9.3	18.4
"1552485_at"	63.4	49.7	118.2	327.5
"1552486_s_at"	179.9	104.5	236.2	716.2
"1552487_a_at"	44.1	1.7	1.4	61.7
"1552489_s_at"	38.9	19.1	68.7	30.1
"1552490_at"	7	32.5	108.2	103.9
"1552491_at"	45.6	46.8	22.4	78.5
"1552493_s_at"	1.9	12.5	2.9	3.1
"1552494_at"	67	34.8	17.7	3.6
"1552496_a_at"	61.1	45.9	51.5	76.6
"1552497_a_at"	106.5	65.3	22.9	52.8
"1552498_at"	81.1	128.6	9.4	60.3
"1552499_a_at"	39.8	75.4	73.4	86.8
"1552501_a_at"	67.5	74.3	9.1	61.9
"1552502_s_at"	55.5	41.2	85.4	225.2
"1552503_at"	35.9	62.2	10.4	8.4
"1552504_a_at"	11.2	22.2	28.3	15
"1552506_at"	12.7	11.8	41.7	21.1
"1552507_at"	12.6	13.7	12.3	11.5
"1552508_at"	141	98	86.2	4
